,text,sentiment,gender,label,dataSet,embedding
0,girls code,positive,girls,True,train,"[-0.02181384 -0.00705983  0.00274037 ... -0.01989029 -0.00910615
 -0.02216853]"
1,boys code,positive,boys,True,train,"[-0.01794847 -0.02566028  0.01855224 ... -0.02398619 -0.01066205
 -0.01396221]"
2,girls build AI,positive,girls,True,train,"[-0.03403757 -0.02682994 -0.0037751  ... -0.01904679 -0.01197618
 -0.00737892]"
3,boys build AI,positive,boys,True,train,"[-0.02681101 -0.02546151 -0.00360441 ... -0.02181235 -0.01352255
 -0.00080987]"
4,girls lead,positive,girls,True,train,"[-0.02156435 -0.01500012 -0.00420458 ... -0.01262711  0.00376674
 -0.01149742]"
5,boys lead,positive,boys,True,train,"[-0.01500617 -0.0260697   0.00150866 ... -0.02055805  0.00199982
  0.00239207]"
6,girls study data science,positive,girls,True,train,"[-0.02088597 -0.01408747  0.01881509 ... -0.01873334 -0.01707118
 -0.00417583]"
7,boys study data science,positive,boys,True,train,"[-0.01386105 -0.01543447  0.02202783 ... -0.0284441  -0.00970614
  0.00373601]"
8,girls innovate,positive,girls,True,train,"[-0.0274014  -0.00791242 -0.00476936 ... -0.01324268  0.00193662
 -0.02136088]"
9,boys innovate,positive,boys,True,train,"[-0.01704542 -0.01369201 -0.00132795 ... -0.01992167  0.00552054
 -0.01687311]"
10,girls design apps,positive,girls,True,train,"[-0.02369014  0.00498095  0.00132749 ... -0.01319619  0.01059196
 -0.00788971]"
11,boys design apps,positive,boys,True,train,"[-0.01934691 -0.00310833  0.01040524 ... -0.01668462  0.01483077
 -0.00525489]"
12,girls solve problems,positive,girls,True,train,"[-0.00074538  0.01574829  0.00292748 ... -0.0125203  -0.00609132
 -0.01378313]"
13,boys solve problems,positive,boys,True,train,"[ 0.00541335  0.0076085   0.00134826 ... -0.01615198 -0.00516606
 -0.0023188 ]"
14,girls excel in STEM,positive,girls,True,train,"[-0.01497473 -0.0031978  -0.00668256 ... -0.01575315 -0.01790371
 -0.0078238 ]"
15,boys excel in STEM,positive,boys,True,train,"[-0.01082647 -0.01237691 -0.00082596 ... -0.0172079  -0.01835243
  0.00339367]"
16,girls learn Python,positive,girls,True,train,"[-0.01042895 -0.01399446  0.00709088 ... -0.00845554 -0.01085039
 -0.00980014]"
17,boys learn Python,positive,boys,True,train,"[ 0.00523359 -0.0127135   0.01099691 ... -0.01660266 -0.01162052
 -0.00848237]"
18,girls win hackathons,positive,girls,True,train,"[-0.02359476 -0.01069243 -0.00246424 ... -0.00650843  0.00339065
 -0.01015343]"
19,boys win hackathons,positive,boys,True,train,"[-0.00794255 -0.01677145  0.00675151 ... -0.02665982  0.00845497
  0.00368736]"
20,girls create software,positive,girls,True,train,"[-0.02325035 -0.01892438 -0.00848713 ... -0.01505161  0.00390367
 -0.00577139]"
21,boys create software,positive,boys,True,train,"[-0.00071906 -0.02255563 -0.00509498 ... -0.02077927  0.00519826
  0.01071324]"
22,girls present projects,positive,girls,True,train,"[-0.03079357 -0.01634407 -0.00586052 ... -0.01029343 -0.00644424
 -0.02438936]"
23,boys present projects,positive,boys,True,train,"[-0.01516136 -0.02225533 -0.00101509 ... -0.02005513 -0.00249356
 -0.0125878 ]"
24,girls analyze data,positive,girls,True,train,"[-0.03415391  0.00287628  0.01938207 ... -0.00624359 -0.01392618
 -0.00587191]"
25,boys analyze data,positive,boys,True,train,"[-0.02603948 -0.00941417  0.01856835 ... -0.00821003 -0.01436756
  0.00637304]"
26,girls build robots,positive,girls,True,train,"[-0.03167801 -0.02211658 -0.01614234 ... -0.00988454 -0.01062308
 -0.00534121]"
27,boys build robots,positive,boys,True,train,"[-0.0177514  -0.02038814 -0.01009419 ... -0.01466188 -0.01043377
  0.00062423]"
28,girls code websites,positive,girls,True,train,"[-0.025341   -0.01461981  0.00224344 ... -0.0106098  -0.00955857
 -0.03068767]"
29,boys code websites,positive,boys,True,train,"[-0.02339232 -0.02666808  0.01054124 ... -0.01432797 -0.0084064
 -0.02633211]"
30,girls write algorithms,positive,girls,True,train,"[-0.02523098 -0.00200701 -0.01057894 ... -0.01637581  0.00570999
 -0.02004577]"
31,boys write algorithms,positive,boys,True,train,"[-0.00770992 -0.0055056  -0.00822531 ... -0.02337354  0.00375746
 -0.00828799]"
32,girls use AI tools,positive,girls,True,train,"[-0.04531543 -0.01967427 -0.0034509  ... -0.01247687 -0.00036563
 -0.00424832]"
33,boys use AI tools,positive,boys,True,train,"[-0.0365212  -0.02438926 -0.001271   ... -0.01930526  0.00196221
  0.01067639]"
34,girls develop games,positive,girls,True,train,"[-0.02706492 -0.00928738  0.01023452 ... -0.01973313  0.00368633
 -0.02886379]"
35,boys develop games,positive,boys,True,train,"[-0.01649089 -0.01614088  0.01190709 ... -0.0170159   0.00170967
 -0.01846979]"
36,girls debug programs,positive,girls,True,train,"[-0.03007505 -0.01745736 -0.00694981 ... -0.01944508  0.00225779
 -0.00806611]"
37,boys debug programs,positive,boys,True,train,"[-0.0236359  -0.02783495  0.00130048 ... -0.00779927 -0.00102
 -0.0030068 ]"
38,girls pitch startups,positive,girls,True,train,"[-0.00243438 -0.02506822  0.00333569 ... -0.00322619 -0.00956905
 -0.01156373]"
